Team,Conference,Year,Games,Win,Loss,Off.Yards.per.Game,Yards.Per.Game.Allowed,Touchdowns,Touchdowns.Allowed
Mississippi State ,SEC,2018,13,8,5,397.4,263.1,48,15
Missouri ,SEC,2018,13,8,5,481.8,388.5,58,39
Navy ,AAC,2018,13,3,10,348.9,426.4,42,60
NC State ,ACC,2018,13,9,4,456.1,392.6,53,39
Nebraska ,Big Ten,2018,12,4,8,456.2,433.5,45,47
Nevada ,MWC,2018,13,8,5,430.8,387.5,52,46
New Mexico ,MWC,2018,12,3,9,330.4,473,43,56
New Mexico State ,FBS Independent,2018,12,3,9,370.5,475.9,38,63
North Carolina ,ACC,2018,11,2,9,442.1,447.6,35,49
North Texas ,C-USA,2018,13,9,4,460.5,374.6,57,38
Northern Illinois,MAC,2018,14,8,6,322.3,357,35,35
Northwestern ,Big Ten,2018,14,9,5,354.4,390.9,44,38
Notre Dame ,FBS Independent,2018,13,12,1,440.1,347.4,51,28
Ohio ,MAC,2018,13,9,4,466.8,390.9,69,42
Ohio State,Big Ten,2018,14,13,1,535.6,403.4,79,46
Oklahoma ,Big 12,2018,14,12,2,570.3,453.8,89,62
Oklahoma State,Big 12,2018,13,7,6,500.2,452.5,65,55
Old Dominion ,C-USA,2018,12,4,8,427.8,471.4,47,59
Ole Miss ,SEC,2018,12,5,7,510.5,483.4,49,54
Oregon ,Pac-12,2018,13,9,4,427.2,385.9,62,38
Oregon State,Pac-12,2018,12,2,10,404.8,536.8,40,76
Penn State,Big Ten,2018,13,9,4,423,350.5,56,34
Pittsburgh ,ACC,2018,14,7,7,369.7,387.6,46,50
Purdue ,Big Ten,2018,13,6,7,443.9,452.6,49,49
Rice ,C-USA,2018,13,2,11,318.4,446.1,28,62
Rutgers ,Big Ten,2018,12,1,11,266.3,401.5,19,49
San Diego State,MWC,2018,13,7,6,348.8,334.6,31,35
San Jose State,MWC,2018,12,1,11,323.7,495.1,31,57
SMU ,AAC,2018,12,5,7,387.2,429.8,47,54
South Alabama ,Sun Belt,2018,12,3,9,355.3,448.7,38,61
South Carolina ,SEC,2018,13,7,6,425.6,424.3,50,42
South Florida,AAC,2018,13,7,6,437.7,446.6,46,53
USC,Pac-12,2018,12,5,7,382.6,388,39,42
Southern Mississippi,C-USA,2018,11,6,5,367.6,278.4,34,27
Stanford ,Pac-12,2018,13,9,4,381,410.1,46,33
Syracuse ,ACC,2018,13,10,3,464.8,426.5,62,42
TCU ,Big 12,2018,13,7,6,368.1,338.2,38,38
Temple ,AAC,2018,13,8,5,409.5,372.5,60,47
Tennessee ,SEC,2018,12,5,7,325.5,377.4,35,42
Texas ,Big 12,2018,14,10,4,411.3,392.8,54,44
Texas A&M ,SEC,2018,13,9,4,471.6,348.4,57,43
Texas State,Sun Belt,2018,12,3,9,330.3,383.9,32,39
Texas Tech ,Big 12,2018,12,5,7,485.2,448.9,57,47
Toledo ,MAC,2018,13,7,6,443.8,432.3,69,54
Troy ,Sun Belt,2018,13,10,3,389.4,347.9,49,38
Tulane ,AAC,2018,13,7,6,401.1,406.8,45,46
Tulsa ,AAC,2018,12,3,9,377.6,407.7,36,43
UAB ,C-USA,2018,14,11,3,405.7,299.2,53,28
Central Florida,AAC,2018,13,12,1,522.7,433.7,75,35
UCLA ,Pac-12,2018,12,3,9,392.6,444.9,36,52
UConn ,AAC,2018,12,1,11,378.4,617.4,36,81
UNLV ,MWC,2018,12,4,8,391.2,454.2,47,55
Utah ,Pac-12,2018,14,9,5,395.8,315.6,45,35
Utah State,MWC,2018,13,11,2,497.4,379.5,79,33
Texas-El Paso,C-USA,2018,12,1,11,307.7,394.7,27,49
Texas-San Antonio,C-USA,2018,12,3,9,247.1,435.5,18,47
Vanderbilt ,SEC,2018,13,6,7,411.2,438.9,47,41
Virginia ,ACC,2018,13,8,5,384.8,330.5,46,30
Virginia Tech ,ACC,2018,13,6,7,428.2,438.7,50,53
Wake Forest ,ACC,2018,13,7,6,449.8,458.6,53,59
Washington ,Pac-12,2018,14,10,4,414.6,306.2,46,26
Washington State,Pac-12,2018,13,11,2,451.5,359.5,66,38
West Virginia ,Big 12,2018,12,8,4,512.3,406.3,62,41
Western Kentucky,C-USA,2018,12,3,9,363.7,421.6,32,37
Western Michigan,MAC,2018,13,7,6,436.8,386.6,55,60
Wisconsin ,Big Ten,2018,13,8,5,431.1,344.2,51,33
Wyoming ,MWC,2018,12,6,6,330.8,326.2,28,33
Air Force ,Mountain West,2019,13,11,2,421.8,319.6,58,34
Akron ,MAC,2019,12,0,12,243.2,413.9,15,56
Alabama ,SEC,2019,13,11,2,510.8,324.4,83,26
Appalachian State,Sun Belt,2019,14,13,1,433.1,336.1,73,35
Arizona ,Pac-12,2019,12,4,8,440.1,471.4,42,54
Arizona State ,Pac-12,2019,13,8,5,372.1,393.3,36,39
Arkansas ,SEC,2019,12,2,10,340.1,450.7,31,57
Arkansas State ,Sun Belt,2019,13,8,5,439.3,478.3,54,56
Army West Point ,FBS Independent,2019,13,5,8,379.2,342.3,52,38
Auburn ,SEC,2019,13,9,4,406.5,337,54,32
Ball State ,MAC,2019,12,5,7,463,424.7,53,47
Baylor ,Big 12,2019,14,11,3,421.5,360.4,61,32
Boise State,Mountain West,2019,14,12,2,429,346.3,63,39
Boston College ,ACC,2019,13,6,7,429.2,478.7,49,49
Bowling Green ,MAC,2019,12,3,9,319.1,467.2,25,62
Buffalo ,MAC,2019,13,8,5,388.5,291.9,54,35
BYU ,FBS Independent,2019,13,7,6,443.8,393.5,46,40
California ,Pac-12,2019,13,8,5,328.5,390.5,35,32
Central Michigan,MAC,2019,14,8,6,433.6,363,55,49
Charlotte ,C-USA,2019,13,7,6,414.5,380.9,52,56
Cincinnati ,AAC,2019,14,11,3,390.3,361.4,52,34
Clemson ,ACC,2019,15,14,1,528.7,288.3,88,24
Coastal Carolina ,Sun Belt,2019,12,5,7,393.8,383.6,46,50
Colorado ,Pac-12,2019,12,5,7,388.5,441.9,33,50
Colorado State,Mountain West,2019,12,4,8,437.4,377.4,42,47
Duke ,ACC,2019,12,5,7,329.7,379.6,37,43
East Carolina ,AAC,2019,12,4,8,430.2,469.3,36,53
Eastern Michigan ,MAC,2019,13,6,7,405.5,430.5,49,52
Florida International ,C-USA,2019,13,6,7,377.1,393.6,40,43
Florida Atlantic ,C-USA,2019,14,11,3,448.6,374.2,65,41
Florida ,SEC,2019,13,11,2,430.5,304.8,55,23
Florida State ,ACC,2019,13,6,7,408.3,424.2,49,40
Fresno State,Mountain West,2019,12,4,8,386,419.8,46,46
Georgia Southern ,Sun Belt,2019,13,7,6,327.7,379.2,44,47
Georgia ,SEC,2019,14,12,2,408.1,275.7,50,20
Georgia State,Sun Belt,2019,13,7,6,439.8,455.5,53,62
Georgia Tech ,ACC,2019,12,3,9,286.3,422.9,27,49
Hawaii ,Mountain West,2019,15,10,5,471,431.3,68,61
Houston ,AAC,2019,12,4,8,391.5,467.5,44,54
Illinois ,Big Ten,2019,13,6,7,329.5,408.5,44,41
Indiana ,Big Ten,2019,13,8,5,432.8,352.2,51,39
Iowa ,Big Ten,2019,13,10,3,366.5,308.2,36,21
Iowa State,Big 12,2019,13,7,6,444.3,369.3,53,39
Kansas ,Big 12,2019,12,3,9,377.3,475.2,36,56
Kansas State ,Big 12,2019,13,8,5,358.9,368.4,47,31
Kent State,MAC,2019,13,7,6,405.6,473.5,42,52
Kentucky ,SEC,2019,13,8,5,392.5,324.6,47,32
Louisiana-Monroe ,Sun Belt,2019,12,5,7,460.9,483.5,51,61
Liberty ,FBS Independent,2019,13,8,5,439.4,409.2,56,46
Louisiana ,Sun Belt,2019,14,11,3,494.1,371.8,69,33
Louisiana Tech ,C-USA,2019,13,10,3,436.8,377.7,54,35
Louisville ,ACC,2019,13,8,5,447.3,439.9,58,58
LSU ,SEC,2019,15,15,0,568.4,343.5,95,42
Marshall ,C-USA,2019,13,8,5,393.8,379.6,40,41
Maryland ,Big Ten,2019,12,3,9,343.4,449.2,42,53
UMass,FBS Independent,2019,12,1,11,293.1,561.2,31,86
Memphis ,AAC,2019,14,12,2,485.1,383.5,71,45
Miami ,FL),2019,13,6,7,367.2,309.8,43,30
Miami ,OH),2019,14,8,6,309.1,381.9,37,52
Michigan ,Big Ten,2019,13,9,4,401.5,307.2,52,37
Michigan State ,Big Ten,2019,13,7,6,371.9,321.6,32,37
Middle Tennessee,C-USA,2019,12,4,8,408.3,459.3,41,43
Minnesota ,Big Ten,2019,13,11,2,432,306.6,59,37
Mississippi State ,SEC,2019,13,6,7,400.1,399.2,48,49
Missouri ,SEC,2019,12,6,6,374.3,312,37,28
Navy ,AAC,2019,13,11,2,455.8,314.2,64,36
NC State ,ACC,2019,12,4,8,380.3,398.9,29,46
Nebraska ,Big Ten,2019,12,5,7,415.8,388.8,43,41
Nevada ,Mountain West,2019,13,7,6,365.3,400.1,31,52
New Mexico ,Mountain West,2019,12,2,10,400.3,485.7,34,59
New Mexico State ,FBS Independent,2019,12,2,10,361.1,479.9,33,61
North Carolina ,ACC,2019,13,7,6,474,373.2,53,38
North Texas ,C-USA,2019,12,4,8,418.6,410.9,46,50
Northern Illinois,MAC,2019,12,5,7,358.7,386.5,33,43
Northwestern ,Big Ten,2019,12,3,9,297.1,335.7,24,34
Notre Dame ,FBS Independent,2019,13,11,2,431.4,321.6,61,26
Ohio ,MAC,2019,13,7,6,442.2,403.7,57,43
Ohio State,Big Ten,2019,14,13,1,529.9,259.7,88,23
Oklahoma ,Big 12,2019,14,12,2,537.6,356.4,76,48
Oklahoma State,Big 12,2019,13,8,5,453.9,412.3,52,43
Old Dominion ,C-USA,2019,12,1,11,273.8,371.1,21,45
Ole Miss ,SEC,2019,12,4,8,445.3,416.8,41,39
Oregon ,Pac-12,2019,14,12,2,433.1,329.1,67,24
Oregon State,Pac-12,2019,12,5,7,411.8,445.7,52,52
Penn State,Big Ten,2019,13,11,2,411.9,346.5,61,23
Pittsburgh ,ACC,2019,13,8,5,380.5,312.9,30,33
Purdue ,Big Ten,2019,12,4,8,393.2,436.3,39,46
Rice ,C-USA,2019,12,3,9,294.2,380.3,27,40
Rutgers ,Big Ten,2019,12,2,10,273.1,433.6,18,59
San Diego State,Mountain West,2019,13,10,3,343.2,287.8,30,19
San Jose State,Mountain West,2019,12,5,7,427.4,443.8,43,49
SMU ,AAC,2019,13,10,3,489.8,445,73,53
South Alabama ,Sun Belt,2019,12,2,10,330.3,408.8,29,44
South Carolina ,SEC,2019,12,4,8,371.9,393.3,31,37
South Florida,AAC,2019,12,4,8,330.8,398.1,33,45
USC,Pac-12,2019,13,8,5,455.4,408.7,54,47
Southern Mississippi,C-USA,2019,13,7,6,407,352.5,42,44
Stanford ,Pac-12,2019,12,4,8,367.9,430.3,29,45
Syracuse ,ACC,2019,12,5,7,394.6,464.1,41,47
TCU ,Big 12,2019,12,5,7,407.7,336.9,41,39
Temple ,AAC,2019,13,8,5,392,377.8,45,43
Tennessee ,SEC,2019,13,8,5,365.5,334.5,35,34
Texas ,Big 12,2019,13,8,5,465.8,431.5,59,42
Texas A&M ,SEC,2019,13,8,5,394.5,340.2,47,35
Texas State,Sun Belt,2019,12,3,9,317.8,417.1,26,51
Texas Tech ,Big 12,2019,12,4,8,474.3,480.3,44,46
Toledo ,MAC,2019,12,6,6,434.1,475.7,42,50
Troy ,Sun Belt,2019,12,5,7,456.3,434.2,52,53
Tulane ,AAC,2019,13,7,6,449.3,377,56,43
Tulsa ,AAC,2019,12,4,8,419.7,394.8,39,48
UAB ,C-USA,2019,14,9,5,351.9,301.9,38,38
Central Florida,AAC,2019,13,10,3,540.5,346.1,74,36
UCLA ,Pac-12,2019,12,4,8,405.7,456.3,42,55
UConn ,AAC,2019,12,2,10,344.7,466.8,28,67
UNLV ,Mountain West,2019,12,4,8,374.3,442.3,37,49
Utah ,Pac-12,2019,14,11,3,429,269.2,60,25
Utah State,Mountain West,2019,13,7,6,431.3,440.5,45,53
Texas-El Paso,C-USA,2019,12,1,11,329.2,430.8,29,54
Texas-San Antonio,C-USA,2019,12,4,8,344.9,429.1,31,51
Vanderbilt ,SEC,2019,12,3,9,299.3,436.6,24,50
Virginia ,ACC,2019,14,9,5,388.9,371.9,56,48
Virginia Tech ,ACC,2019,13,8,5,385.2,363.3,49,41
Wake Forest ,ACC,2019,13,8,5,464,416.5,49,47
Washington ,Pac-12,2019,13,8,5,391.2,348.6,51,30
Washington State,Pac-12,2019,13,6,7,505.2,452.5,62,53
West Virginia ,Big 12,2019,12,5,7,321.9,399.3,30,43
Western Kentucky,C-USA,2019,13,9,4,387.8,335.5,40,32
Western Michigan,MAC,2019,13,7,6,445.7,419.7,58,40
Wisconsin ,Big Ten,2019,14,10,4,433.2,287.1,62,30
Wyoming ,Mountain West,2019,13,8,5,350.9,363.8,41,25
Air Force ,Mountain West,2020,6,3,3,389.3,303.3,19,12
Akron ,MAC,2020,6,1,5,281.2,459.8,13,34
Alabama ,SEC,2020,11,11,0,543.9,351.2,73,25
Appalachian State ,Sun Belt,2020,12,9,3,452,328.8,52,30
Arizona ,Pac-12,2020,5,0,5,369.4,473,10,26
Arizona State ,Pac-12,2020,4,2,2,458.5,435.8,22,13
Arkansas ,SEC,2020,10,3,7,391.5,451.7,34,43
Arkansas State ,Sun Belt,2020,11,4,7,489.7,470.1,47,53
Army West Point ,FBS Independent,2020,11,9,2,324.9,271.1,40,20
Auburn ,SEC,2020,10,6,4,385,400.9,29,31
Ball State ,MAC,2020,7,6,1,453.7,441.7,30,25
Baylor ,Big 12,2020,9,2,7,310.2,383.4,26,33
Boise State,Mountain West,2020,7,5,2,349,373.3,31,23
Boston College ,ACC,2020,11,6,5,385.9,416.8,36,39
Bowling Green ,MAC,2020,5,0,5,326.4,475.8,6,30
Buffalo ,MAC,2020,7,6,1,478.4,359,43,19
BYU ,FBS Independent,2020,12,11,1,522.2,317.4,69,23
California ,Pac-12,2020,4,1,3,319.5,367,10,14
Central Michigan,MAC,2020,6,3,3,420.3,427.7,23,23
Charlotte ,C-USA,2020,6,2,4,377.7,419.5,22,26
Cincinnati ,AAC,2020,9,9,0,467.2,314.4,48,16
Clemson ,ACC,2020,11,10,1,507.6,298.5,63,23
Coastal Carolina ,Sun Belt,2020,11,11,0,446.8,340.7,56,25
Colorado ,Pac-12,2020,5,4,1,421,376.8,19,15
Colorado State,Mountain West,2020,4,1,3,323.5,358.8,11,18
Duke ,ACC,2020,11,2,9,379.4,444.8,33,56
East Carolina ,AAC,2020,9,3,6,402.7,447.3,33,42
Eastern Michigan ,MAC,2020,6,2,4,400.3,490.2,24,27
Florida International ,C-USA,2020,5,0,5,280.8,422.8,15,19
Florida Atlantic ,C-USA,2020,9,5,4,324.6,342.2,21,17
Florida ,SEC,2020,11,8,3,508.8,404.7,58,41
Florida State ,ACC,2020,9,3,6,396.7,456.3,30,43
Fresno State,Mountain West,2020,6,3,3,479.3,430,26,23
Georgia Southern ,Sun Belt,2020,13,8,5,371.2,325.7,43,33
Georgia ,SEC,2020,9,7,2,421.3,322.8,38,21
Georgia State,Sun Belt,2020,9,5,4,417.7,424.3,37,40
Georgia Tech ,ACC,2020,10,3,7,389.9,459.3,34,46
Hawaii ,Mountain West,2020,9,5,4,383.9,408.8,30,31
Houston ,AAC,2020,8,3,5,408.9,398.5,31,33
Illinois ,Big Ten,2020,8,2,6,349,469.1,20,37
Indiana ,Big Ten,2020,7,6,1,358.1,361.7,26,18
Iowa ,Big Ten,2020,8,6,2,368.6,313.8,30,17
Iowa State,Big 12,2020,11,8,3,441.1,343,47,29
Kansas ,Big 12,2020,9,0,9,259.2,459.2,18,52
Kansas State ,Big 12,2020,10,4,6,337.4,444.7,33,42
Kent State,MAC,2020,4,3,1,606.5,424,27,21
Kentucky ,SEC,2020,10,4,6,311.8,387,27,35
Liberty ,FBS Independent,2020,10,9,1,483.5,301.2,51,26
Louisiana ,Sun Belt,2020,10,9,1,422.6,347.8,45,27
Louisiana Tech ,C-USA,2020,10,5,5,315.8,427.3,33,45
Louisville ,ACC,2020,11,4,7,444.2,369.1,41,35
LSU ,SEC,2020,10,5,5,433.9,492,38,45
Marshall ,C-USA,2020,10,7,3,391.3,279.4,38,15
Maryland ,Big Ten,2020,5,2,3,409,430,15,20
UMass,FBS Independent,2020,4,0,4,187.5,482,1,21
Memphis ,AAC,2020,11,8,3,453.1,434.3,42,39
Miami ,FL),2020,10,8,2,432.6,407.4,41,32
Miami ,OH),2020,3,2,1,365.3,393.7,11,11
Michigan ,Big Ten,2020,6,2,4,381.8,434.3,23,26
Michigan State ,Big Ten,2020,7,2,5,330.3,396.7,14,32
Middle Tennessee,C-USA,2020,9,3,6,365.9,446,27,41
Minnesota ,Big Ten,2020,7,3,4,393.1,415.9,26,28
Mississippi State ,SEC,2020,10,3,7,347.1,380.3,25,35
Missouri ,SEC,2020,10,5,5,402,408,31,42
Navy ,AAC,2020,10,3,7,275,385.5,21,34
NC State ,ACC,2020,11,8,3,391.5,418.2,44,39
Nebraska ,Big Ten,2020,8,3,5,391.5,386.5,21,27
Nevada ,Mountain West,2020,9,7,2,441.4,377.7,34,26
New Mexico ,Mountain West,2020,7,2,5,393.7,447.1,20,28
North Carolina ,ACC,2020,11,8,3,556.6,395.8,63,39
North Texas ,C-USA,2020,10,4,6,513.2,522.1,46,58
Northern Illinois,MAC,2020,6,0,6,367.5,418.8,18,30
Northwestern ,Big Ten,2020,8,6,2,348.6,338.8,23,12
Notre Dame ,ACC,2020,11,10,1,455.2,335.1,49,23
Ohio ,MAC,2020,3,2,1,362.7,389,14,6
Ohio State,Big Ten,2020,6,6,0,529.2,358,34,16
Oklahoma ,Big 12,2020,10,8,2,475.8,333.6,51,28
Oklahoma State,Big 12,2020,10,7,3,427.7,365.7,35,28
Ole Miss ,SEC,2020,9,4,5,562.4,535.7,51,48
Oregon ,Pac-12,2020,6,4,2,429.7,409.5,27,21
Oregon State,Pac-12,2020,7,2,5,408.9,442.3,27,29
Penn State,Big Ten,2020,9,4,5,430.3,328.8,34,31
Pittsburgh ,ACC,2020,11,6,5,379.6,339.5,36,35
Purdue ,Big Ten,2020,6,2,4,390.5,399,20,22
Rice ,C-USA,2020,5,2,3,331.6,341.6,13,11
Rutgers ,Big Ten,2020,9,3,6,339.1,449.1,30,36
San Diego State,Mountain West,2020,8,4,4,350.8,283.5,24,16
San Jose State,Mountain West,2020,7,7,0,442.9,338.1,27,15
SMU ,AAC,2020,10,7,3,494.5,422.2,48,41
South Alabama ,Sun Belt,2020,11,4,7,358.5,436.4,26,37
South Carolina ,SEC,2020,10,2,8,355.1,451.5,29,47
South Florida,AAC,2020,9,1,8,365.3,441.4,26,47
USC,Pac-12,2020,6,5,1,416.7,369.7,25,19
Southern Mississippi,C-USA,2020,10,3,7,372,401.7,31,42
Stanford ,Pac-12,2020,6,4,2,420.2,438.7,22,25
Syracuse ,ACC,2020,11,1,10,265.3,463.9,24,45
TCU ,Big 12,2020,10,6,4,411,350.9,39,29
Temple ,AAC,2020,7,1,6,348.3,433,17,34
Tennessee ,SEC,2020,10,3,7,346.2,407.4,29,35
Texas ,Big 12,2020,9,6,3,457.3,409.8,47,31
Texas A&M ,SEC,2020,9,8,1,437.2,316.6,37,24
Texas State,Sun Belt,2020,12,2,10,369.7,494.9,44,58
Texas Tech ,Big 12,2020,10,4,6,429.5,444.9,38,45
Toledo ,MAC,2020,6,4,2,494,362.2,27,18
Troy ,Sun Belt,2020,11,5,6,392.8,405.1,37,34
Tulane ,AAC,2020,12,6,6,393.8,422,56,45
Tulsa ,AAC,2020,8,6,2,405.4,340.8,27,17
UAB ,C-USA,2020,9,6,3,401.3,311.1,32,23
Central Florida,AAC,2020,10,6,4,568.1,491.8,55,44
UCLA ,Pac-12,2020,7,3,4,455,409.9,33,28
ULM ,Sun Belt,2020,10,0,10,305.7,464.6,23,56
UNLV ,Mountain West,2020,6,0,6,330.5,482.2,13,28
Utah ,Pac-12,2020,5,3,2,409.8,365,18,16
Utah State,Mountain West,2020,6,1,5,275.8,485.3,12,28
Texas-El Paso,C-USA,2020,8,3,5,348.1,381.2,24,33
Texas-San Antonio,C-USA,2020,11,7,4,413.9,380.8,38,36
Vanderbilt ,SEC,2020,9,0,9,330,487.4,17,44
Virginia ,ACC,2020,10,5,5,423.3,442.9,40,34
Virginia Tech ,ACC,2020,11,5,6,440.7,447.5,40,45
Wake Forest ,ACC,2020,8,4,4,435.2,456.9,36,31
Washington ,Pac-12,2020,4,3,1,402.8,346.2,15,14
Washington State,Pac-12,2020,4,1,3,384,461.8,14,21
West Virginia ,Big 12,2020,9,5,4,422.7,297.2,29,23
Western Kentucky,C-USA,2020,11,5,6,290.9,336.4,24,34
Western Michigan,MAC,2020,6,4,2,479.7,399.7,34,25
Wisconsin ,Big Ten,2020,6,3,3,358.8,263.5,17,11
Wyoming ,Mountain West,2020,6,2,4,372.8,328,17,16
